               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.12423,            0.024852,                   0,             0.56717,              0.3376,             0.35011,             0.11081,             0.11804,            0.053696,                   0,             0.00772,             0.00772,             0.00772
                  40,             0.12413,            0.024935,                   0,             0.54824,             0.32243,             0.33686,             0.10989,             0.11793,             0.05362,                   0,             0.00766,             0.00766,             0.00766
                  41,             0.12429,            0.024734,                   0,             0.55711,              0.3267,             0.34001,             0.11138,              0.1181,             0.05315,                   0,              0.0076,              0.0076,              0.0076
                  42,             0.12431,            0.023948,                   0,             0.55525,              0.3298,             0.34175,             0.10977,             0.11811,            0.053328,                   0,             0.00754,             0.00754,             0.00754
                  43,             0.12426,            0.024779,                   0,             0.56019,              0.3346,             0.34435,             0.11279,             0.11804,            0.053075,                   0,             0.00748,             0.00748,             0.00748
                  44,             0.12446,            0.024545,                   0,             0.56488,             0.33103,             0.34573,             0.11258,             0.11778,             0.05402,                   0,             0.00742,             0.00742,             0.00742
                  45,             0.12361,             0.02361,                   0,             0.55746,             0.33023,             0.34452,              0.1133,             0.11778,            0.053371,                   0,             0.00736,             0.00736,             0.00736
                  46,             0.12457,            0.025317,                   0,             0.58388,             0.33453,             0.35428,             0.11715,             0.11757,            0.053257,                   0,              0.0073,              0.0073,              0.0073
                  47,             0.12339,            0.024297,                   0,             0.56922,             0.34075,             0.35482,             0.11632,             0.11735,            0.053269,                   0,             0.00724,             0.00724,             0.00724
                  48,             0.12349,            0.024367,                   0,              0.5783,             0.33181,             0.35026,             0.11601,             0.11755,            0.053476,                   0,             0.00718,             0.00718,             0.00718
                  49,              0.1238,            0.024823,                   0,             0.55695,             0.33539,             0.34637,             0.11391,             0.11751,            0.053626,                   0,             0.00712,             0.00712,             0.00712
                  50,             0.12435,            0.024438,                   0,             0.58533,              0.3346,             0.35522,             0.11735,              0.1174,            0.053803,                   0,             0.00706,             0.00706,             0.00706
                  51,             0.12254,            0.024705,                   0,             0.56613,             0.33388,             0.35016,             0.11788,             0.11743,            0.053754,                   0,               0.007,               0.007,               0.007
                  52,             0.12286,            0.024821,                   0,             0.57493,             0.33846,             0.35603,             0.11712,              0.1171,            0.053842,                   0,             0.00694,             0.00694,             0.00694
                  53,             0.12384,            0.024631,                   0,             0.57549,              0.3399,             0.35419,             0.11811,             0.11723,            0.053692,                   0,             0.00688,             0.00688,             0.00688
                  54,             0.12218,            0.024347,                   0,             0.57967,             0.33746,             0.35618,              0.1173,             0.11716,            0.053886,                   0,             0.00682,             0.00682,             0.00682
                  55,             0.12283,            0.024464,                   0,             0.57796,             0.33145,             0.34876,             0.11405,              0.1174,            0.053756,                   0,             0.00676,             0.00676,             0.00676
                  56,             0.12303,            0.024553,                   0,             0.57575,             0.33854,             0.35638,             0.11808,              0.1171,            0.053752,                   0,              0.0067,              0.0067,              0.0067
                  57,             0.12255,            0.024279,                   0,             0.58621,             0.34219,             0.36269,             0.12083,             0.11693,             0.05381,                   0,             0.00664,             0.00664,             0.00664
                  58,             0.12275,            0.024285,                   0,             0.59529,             0.33968,             0.36299,             0.12071,             0.11691,            0.053587,                   0,             0.00658,             0.00658,             0.00658
                  59,             0.12265,            0.024476,                   0,              0.5823,             0.33775,             0.35874,             0.11973,             0.11695,            0.053576,                   0,             0.00652,             0.00652,             0.00652
                  60,             0.12318,             0.02421,                   0,             0.58538,             0.33753,             0.35703,             0.11932,             0.11689,            0.053769,                   0,             0.00646,             0.00646,             0.00646
                  61,             0.12256,            0.024666,                   0,             0.58385,             0.33967,             0.36002,             0.12074,             0.11675,             0.05404,                   0,              0.0064,              0.0064,              0.0064
                  62,             0.12237,             0.02493,                   0,             0.58589,             0.34577,             0.36564,             0.12141,             0.11656,            0.054129,                   0,             0.00634,             0.00634,             0.00634
                  63,             0.12304,            0.025229,                   0,              0.5816,             0.34791,             0.36664,             0.12272,              0.1167,            0.053907,                   0,             0.00628,             0.00628,             0.00628
                  64,             0.12293,            0.024929,                   0,             0.59834,             0.33923,             0.36502,             0.12152,              0.1167,            0.054048,                   0,             0.00622,             0.00622,             0.00622
                  65,             0.12238,            0.024707,                   0,              0.5906,             0.34398,             0.36774,             0.12369,             0.11648,            0.054179,                   0,             0.00616,             0.00616,             0.00616
                  66,             0.12292,            0.025034,                   0,             0.58264,             0.35049,             0.36746,             0.12338,             0.11645,            0.053721,                   0,              0.0061,              0.0061,              0.0061
                  67,             0.12192,            0.024668,                   0,             0.59342,             0.34204,             0.36507,              0.1235,             0.11641,            0.053938,                   0,             0.00604,             0.00604,             0.00604
                  68,             0.12219,            0.024544,                   0,             0.58408,             0.34777,             0.36859,             0.12394,             0.11631,            0.053788,                   0,             0.00598,             0.00598,             0.00598
                  69,             0.12343,            0.025109,                   0,             0.58621,             0.34938,             0.36859,             0.12311,              0.1161,            0.054269,                   0,             0.00592,             0.00592,             0.00592
                  70,             0.12195,            0.024528,                   0,             0.60196,             0.34384,             0.37176,             0.12453,             0.11631,            0.054296,                   0,             0.00586,             0.00586,             0.00586
                  71,             0.12293,            0.025386,                   0,             0.60652,             0.34734,             0.37138,             0.12477,             0.11639,            0.054478,                   0,              0.0058,              0.0058,              0.0058
                  72,             0.12207,            0.025372,                   0,             0.60728,             0.34863,             0.37565,               0.127,             0.11622,            0.054537,                   0,             0.00574,             0.00574,             0.00574
                  73,             0.12186,            0.024123,                   0,             0.59987,              0.3497,             0.37331,             0.12583,             0.11629,            0.054468,                   0,             0.00568,             0.00568,             0.00568
                  74,             0.12308,            0.025238,                   0,             0.59251,             0.34963,             0.37234,             0.12751,             0.11619,            0.054086,                   0,             0.00562,             0.00562,             0.00562
                  75,             0.12222,            0.024686,                   0,             0.58691,             0.35099,             0.37352,             0.12457,             0.11622,            0.054181,                   0,             0.00556,             0.00556,             0.00556
                  76,             0.12239,            0.025134,                   0,             0.61292,             0.34913,              0.3778,             0.12586,             0.11627,            0.053961,                   0,              0.0055,              0.0055,              0.0055
                  77,              0.1221,            0.024624,                   0,             0.61086,             0.35028,             0.37864,             0.12697,             0.11612,            0.054329,                   0,             0.00544,             0.00544,             0.00544
                  78,             0.12232,            0.025007,                   0,             0.59852,             0.35092,             0.37822,             0.12702,             0.11603,            0.054196,                   0,             0.00538,             0.00538,             0.00538
                  79,             0.12218,            0.025137,                   0,             0.59943,             0.35207,             0.37633,             0.12616,             0.11606,            0.054246,                   0,             0.00532,             0.00532,             0.00532
                  80,             0.12242,            0.024754,                   0,             0.59561,              0.3535,             0.37656,              0.1259,              0.1161,            0.054422,                   0,             0.00526,             0.00526,             0.00526
                  81,             0.12194,            0.025331,                   0,             0.59389,               0.356,             0.37879,             0.12797,             0.11591,            0.054401,                   0,              0.0052,              0.0052,              0.0052
                  82,             0.12186,            0.025017,                   0,             0.59749,             0.35693,             0.37899,             0.12801,             0.11591,             0.05461,                   0,             0.00514,             0.00514,             0.00514
                  83,             0.12133,            0.024265,                   0,             0.60234,             0.35529,             0.38026,             0.12789,             0.11583,            0.054525,                   0,             0.00508,             0.00508,             0.00508
                  84,              0.1222,            0.025278,                   0,             0.61019,             0.35278,             0.38092,             0.12912,             0.11577,            0.054537,                   0,             0.00502,             0.00502,             0.00502
                  85,             0.12186,            0.024552,                   0,             0.60419,             0.35537,             0.38247,              0.1285,             0.11582,             0.05411,                   0,             0.00496,             0.00496,             0.00496
                  86,             0.12166,            0.024351,                   0,             0.60687,             0.35242,              0.3797,              0.1285,             0.11576,            0.054123,                   0,              0.0049,              0.0049,              0.0049
                  87,             0.12153,            0.024989,                   0,             0.59261,             0.35844,             0.38145,             0.12839,             0.11571,            0.054163,                   0,             0.00484,             0.00484,             0.00484
                  88,             0.12167,            0.025027,                   0,             0.60418,             0.35965,             0.38188,             0.12877,             0.11566,             0.05431,                   0,             0.00478,             0.00478,             0.00478
                  89,             0.12165,            0.024651,                   0,             0.59437,             0.35815,             0.38058,             0.12863,             0.11567,             0.05453,                   0,             0.00472,             0.00472,             0.00472
                  90,             0.12122,            0.024409,                   0,             0.60006,             0.35643,             0.38037,             0.12877,             0.11562,            0.054547,                   0,             0.00466,             0.00466,             0.00466
